Segment,Rank,Cam Master,Cam Slave,MPJPE (mm),PA-MPJPE (mm),Avg Score,local_belief Master,local_belief Slave,Old MPJPE,Old PA-MPJPE,Delta_MPJPE,Delta_PA-MPJPE,MPJPE_head,MPJPE_left_ankle,MPJPE_left_elbow,MPJPE_left_hip,MPJPE_left_knee,MPJPE_left_shoulder,MPJPE_left_wrist,MPJPE_right_ankle,MPJPE_right_elbow,MPJPE_right_hip,MPJPE_right_knee,MPJPE_right_shoulder,MPJPE_right_wrist,PA-MPJPE_head,PA-MPJPE_left_ankle,PA-MPJPE_left_elbow,PA-MPJPE_left_hip,PA-MPJPE_left_knee,PA-MPJPE_left_shoulder,PA-MPJPE_left_wrist,PA-MPJPE_right_ankle,PA-MPJPE_right_elbow,PA-MPJPE_right_hip,PA-MPJPE_right_knee,PA-MPJPE_right_shoulder,PA-MPJPE_right_wrist
seg_4,1,cam4,cam2,92.76,46.83,69.80,0.90,0.91,96.04,50.31,3.28,3.48,96.48,72.21,118.28,67.55,112.45,83.56,109.51,44.59,122.37,67.55,98.93,105.34,107.06,17.21,21.64,38.35,96.89,45.65,46.18,34.80,21.49,50.44,103.42,51.50,43.03,38.22
seg_4,2,cam7,cam5,92.81,47.39,70.10,0.91,0.88,92.79,47.45,-0.02,0.06,84.77,68.28,123.81,63.35,107.13,64.90,120.23,70.06,133.92,63.35,99.34,97.40,109.96,12.49,17.92,35.41,91.68,40.84,51.86,44.47,33.35,54.80,106.28,42.59,43.14,41.30
seg_4,3,cam4,cam7,93.56,46.66,70.11,0.90,0.91,96.04,50.31,2.48,3.65,95.90,72.21,119.59,67.55,112.45,83.56,118.44,45.26,122.44,67.55,98.93,105.34,107.06,13.66,20.16,34.62,94.42,44.36,44.60,44.81,24.95,52.91,105.22,48.21,39.96,38.69
seg_4,4,cam7,cam4,92.81,47.47,70.14,0.91,0.90,92.79,47.45,-0.02,-0.02,84.77,68.28,123.81,63.35,107.13,64.90,119.81,70.24,134.14,63.35,99.34,97.40,109.96,12.60,17.77,35.28,91.57,40.94,51.95,44.96,33.59,55.08,106.28,42.53,43.13,41.40
seg_4,5,cam7,cam0,92.85,47.53,70.19,0.91,0.89,92.79,47.45,-0.06,-0.08,84.77,68.51,123.81,63.35,107.13,64.90,119.81,70.06,134.06,63.35,99.34,97.40,110.62,12.69,18.02,35.27,91.55,40.93,51.92,44.89,33.52,54.96,106.33,42.62,43.24,41.94
seg_4,6,cam7,cam8,92.92,47.50,70.21,0.91,0.88,92.79,47.45,-0.13,-0.05,84.77,68.28,124.22,63.35,107.13,64.90,121.29,70.06,134.23,63.35,99.34,97.40,109.59,12.66,17.98,35.49,91.73,40.98,52.19,45.21,33.34,55.08,106.27,42.70,43.06,40.87
seg_4,7,cam7,cam2,94.92,47.60,71.26,0.91,0.91,92.79,47.45,-2.13,-0.15,84.77,68.28,123.81,63.35,107.13,64.90,119.79,70.24,147.66,63.35,99.34,97.40,123.93,11.37,15.78,31.00,91.66,42.05,55.90,41.06,33.76,57.80,109.59,42.53,41.13,45.23
seg_4,8,cam2,cam5,94.45,49.40,71.92,0.91,0.88,94.47,49.42,0.02,0.02,94.62,70.39,109.37,71.23,110.16,80.35,105.87,63.50,138.01,71.23,100.83,95.55,116.70,14.36,20.76,36.10,104.89,48.00,54.05,36.37,38.44,55.54,105.00,42.85,41.90,43.88
seg_4,9,cam2,cam4,94.47,49.42,71.94,0.91,0.90,94.47,49.42,0.00,0.00,94.62,70.39,109.37,71.23,110.16,80.35,105.87,63.50,138.01,71.23,100.83,95.55,117.07,14.39,20.74,36.09,104.90,47.98,54.07,36.37,38.48,55.50,105.03,42.83,41.88,44.22
seg_4,10,cam2,cam8,94.47,49.42,71.94,0.91,0.88,94.47,49.42,0.00,0.00,94.62,70.39,109.37,71.23,110.16,80.35,105.87,63.50,138.01,71.23,100.83,95.55,117.07,14.39,20.74,36.09,104.90,47.98,54.07,36.37,38.48,55.50,105.03,42.83,41.88,44.22
